# maelstrom - GimmeMotifs version 0.10.0b4
# method: lightning with motif score
# motif table: hg19.most_variable.out/motif.score.txt.gz
# activity values: coefficients from fitted model
	Bcell	CD4	CD8	CLP	CMP	Ery	GMP	HSC	LMPP	MEP	MPP	Mono	Nkcell
AP-2_Average_26	-0.00253242097487	0.00113401269233	-0.0040375032032	0.00139829611282	-0.00265271099408	0.00207503280066	0.00353735915843	0.000626193072516	0.00109378354125	0.00200827779702	0.000486503485434	-0.00208874181628	-0.00104808167203
AP-2_Average_17	0.00107283688035	-0.00217974454988	-0.00513919059541	0.000850126987103	-0.0005529221349	0.00309291957808	0.00207691749558	-0.00172415556102	0.000438760895979	0.000526355070541	0.00163545670262	0.000517442702349	-0.000614803471403
AP-2_Average_27	0.000136323970126	-0.000389359709328	-0.000139368796012	3.37672805637e-05	-0.000381653537386	0.000104286229153	0.00054367232332	-0.000375396203336	0.000355303793858	0.000316430886955	-0.000594516295305	4.77090341799e-05	0.000342801023212
AP-2_Average_15	0.00386037169075	-0.00377187073248	-0.00435137517509	0.00723304798807	-0.00885714393162	0.00863045089991	0.00146403782071	-0.00509922423649	-0.00388324234556	-0.00103934363426	0.00598240003454	0.000583683086192	-0.000751791464667
AP-2_M5965_1.01	-0.000544774070235	0.00052135241211	-8.85295581528e-05	-0.000156698143251	-0.000282701824051	0.000291775930561	0.00011091129805	-0.000674029298585	0.000652877393925	-3.71127331462e-05	-7.73572486808e-05	-7.49030727563e-05	0.000359188914212
ARID_BRIGHT_Average_1	-0.00103597628975	0.00181241162351	-0.000147825924348	0.000612072990031	-0.00112122471586	0.000148129982095	0.000437086040589	0.000103643969127	-0.00132736127615	-2.31743727787e-07	0.00196668795779	-0.000298533478508	-0.0011488791348
ARID_BRIGHT_M0104_1.01	-0.000413464085234	0.000166536017653	-0.000445965242966	0.000300502463379	-0.00047429947335	-5.5700502446e-05	9.1772959027e-05	0.000301581011645	-0.00028364583355	2.14709941238e-06	0.000332444381443	0.000154043904115	0.000324047300872
ARID_BRIGHT_Average_3	-0.00512048778017	0.0121677323438	0.00331105257112	0.000293190592339	0.000594082827542	0.0022308651713	-0.000155254888112	0.000436511724828	-0.00451237667753	-0.00091363777763	0.00631026018768	-0.00510100642171	-0.00954093187349
ARID_BRIGHT_M5966_1.01	-0.00052417131215	0.00153430305142	-0.000539786872621	-8.87883976855e-05	-0.00035624040382	0.000169258752533	-0.00176262662787	1.8145710664e-06	-0.000964996983866	-0.000268424621771	0.00127603720913	0.000706468001794	0.000817153633846
ARID_BRIGHT_Average_4	0.000651624080748	0.000858508467559	-0.00375745217539	0.000166801751064	-0.00227760625684	0.000125605031806	0.0015496205016	0.00153953309693	-0.000151076886459	-0.00160170814493	-0.00306796604594	0.00151798913485	0.004446127445
