# maelstrom - GimmeMotifs version 0.10.0b4
# method: mara with motif count
# motif table: hg19.most_variable.out/motif.count.txt.gz
# activity values: mean coefficient from fitted model
	HSC	MPP	LMPP	CMP	GMP	MEP	Mono	CD4	CD8	Nkcell	Bcell	CLP	Ery
AP-2_Average_26	-0.0313200075803	0.0127376341111	0.0841000216463	0.0160130640586	0.057563745948	-0.0306484831204	-0.00124701834932	-0.0106912970942	-0.00866477362115	-0.0546202344735	-0.00693099811981	0.0276831174891	0.00939136234771
AP-2_Average_17	-0.0340807222459	-0.0934808721986	-0.0013278113897	0.00978970343757	-0.115275136332	-0.0113526162921	0.0103247259607	0.148286765236	0.0702825183956	0.0697251034032	0.104355282079	-0.20197891873	-0.107660499383
AP-2_Average_27	0.0822623255365	0.105240502991	0.034016890931	0.0328543979959	0.0390273651284	-0.0251670383398	0.00562410669485	-0.0832505255564	-0.089461729447	-0.00976251379784	-0.0413960210371	-0.15429965704	0.00236791085789
AP-2_Average_15	-0.00526208732833	-0.0353276126689	-0.012281624994	-4.13208339366e-06	0.0177312416848	0.0915136032436	0.0112510662224	-0.081934924407	-0.037019504807	-0.0798143502076	-0.0872106040677	0.116933625862	0.197703395135
AP-2_M5965_1.01	0.0344914065361	0.143515096216	-0.245645491192	0.0689729654651	0.133004699501	-0.353464403163	0.45942977791	-0.108595734223	-0.20796271719	0.0939454837045	-0.0528475178922	0.0287946152734	-0.467434877321
ARID_BRIGHT_Average_1	0.0377366519418	0.0145624821471	0.041334945073	0.000879304137881	-0.00248239631634	-0.135382885519	0.0482151937299	-0.026555642875	0.0281542599446	-0.00800388191971	-0.000906704891349	-0.0118391226669	-0.165621199138
ARID_BRIGHT_M0104_1.01	0.0818977684626	0.120468897466	0.065930166467	0.0524546195996	-0.0658440929778	0.339099921566	0.0794231950877	0.0489400143819	0.0461275146768	0.327301373097	-0.205956224619	-0.327571236398	-0.188338669091
ARID_BRIGHT_Average_3	-0.01331273382	-0.00198816759487	-0.0286530204215	-0.00519804217301	-0.00832920623562	0.112352346383	-0.00406945140459	-0.00829007473378	-0.0767052069471	-0.012233303468	0.000902438049402	0.0201783934358	0.237696911748
ARID_BRIGHT_M5966_1.01	0.174838185552	0.0680035603922	-0.0627719168732	-0.247519616708	0.14643994125	-0.141470392538	0.076428032805	-0.198802329001	-0.132972460428	0.278929996679	-0.278631134221	0.485362188014	-0.109521749832
ARID_BRIGHT_Average_4	-0.0191523454005	-0.0815044931107	0.134443656838	-0.0389997740942	0.0551182896653	-0.13179665868	0.0275588129975	0.00974365477375	0.00458180739523	0.0740170488883	-0.251292789996	0.0139503354198	-0.0711459050251
ARID_BRIGHT_M0108_1.01	0.037822079686	-0.117309006155	0.267809345558	-0.0198737282501	0.177142088645	-0.0988430563791	0.0653992217981	-0.124814179548	-0.15021196666	0.0656524448851	0.0772065907652	0.00835327863114	-0.0487229036143
ARID_BRIGHT_Average_2	0.013727448316	0.00478333013209	-0.0306977914546	0.00631970304609	-0.000225898322823	0.0131688054783	-0.028365959592	-0.00756293568018	-0.00191031252041	-0.0224235200942	-0.00461982947485	0.0200727020278	0.00771908124441
AT_hook_M6098_1.01	-0.0145249345631	-0.017045973454	-0.0461782932347	0.007698320241	-0.0146149364181	0.0701278319705	-0.0545870373911	0.0197552649837	-0.0227267707814	0.0304267492129	-0.0435570037195	0.0331598659641	-0.0138159747772
AT_hook_M0127_1.01	-0.0558357737832	-0.00827464374049	-0.0190180512866	-0.0592070535632	-0.00446998076387	0.114652265385	0.00734866076296	0.0372169623157	0.00783302969331	0.00253212520807	-0.00497586628511	-0.0415201161733	0.109767666368
AT_hook_M0131_1.01	0.062565495973	0.034204109095	-0.00425350466703	0.00609051048328	-0.0760319714691	-0.0602645786096	-0.0153735847921	-0.00169369896341	0.036228744534	0.0147360405463	-0.00375729724704	0.0606742197271	0.0040711357009
AT_hook_M0133_1.01	0.00619922632435	0.017520804162	0.00016403979402	-0.0304779060757	-0.0603926455065	-0.307396226363	0.00152449504753	-0.214864893996	-0.0963570741383	-0.311876030854	0.126653584755	0.0031587092718	0.00648741401229
AT_hook_M6099_1.01	0.00114409813871	0.0102686452085	-0.00550475938704	-0.109208505694	-0.0923242895677	-0.144258488899	-0.0123746728887	0.0477062770368	0.340939992965	0.126203184939	-0.166724706345	0.00406246720214	-0.0652487470616
