# maelstrom - GimmeMotifs version 0.10.0b4
# method: rf with motif score
# motif table: hg19.most_variable.out/motif.score.txt.gz
# activity values: feature importances from fitted Random Forest model
	Bcell	CD4	CD8	CLP	CMP	Ery	GMP	HSC	LMPP	MEP	MPP	Mono	Nkcell
AP-2_Average_26	0.00129407149079	0.00173613143712	0.00201236825005	0.00267153521874	0.00201261446181	0.000875094309751	0.00161073297644	0.00130842230244	0.00150978140862	0.0015040493583	0.00170873744134	0.00136774296716	0.00115913106165
AP-2_Average_17	0.00127990445619	0.00166209290014	0.00135851940279	0.00170706945959	0.00178084645591	0.00277644691896	0.00129495785445	0.00102030044806	0.00162976583136	0.00126058577	0.00147541353966	0.00172135492782	0.0010369129533
AP-2_Average_27	0.00124189840211	0.00194180188358	0.00144981824511	0.00239066545083	0.00208729725837	0.00108089707851	0.00154994022979	0.00167501490925	0.00137686785514	0.00133396847763	0.00165675311933	0.00128179600388	0.00137935650577
AP-2_Average_15	0.00109058824832	0.00231747701524	0.00132639702727	0.00354303463187	0.00360948950123	0.00241560690792	0.00147311892906	0.00135461473197	0.00149616547216	0.00109134498365	0.00199318846883	0.00192947807992	0.00160647610579
AP-2_M5965_1.01	0.00141481716428	0.00167743520691	0.00127559714144	0.00167448234391	0.00295842497245	0.00306897518096	0.00123293262973	0.00263002465975	0.00155858438932	0.0015010852878	0.0017599106949	0.00171762394111	0.000685827646855
ARID_BRIGHT_Average_1	0.000482077847362	0.00106791009087	0.000601828192642	0.000593171162631	0.000412096453154	0.000787193473158	0.000563053450997	0.000804779260913	0.000633019755376	0.000426539959366	0.00104932657904	0.000805468438384	0.000755843619895
ARID_BRIGHT_M0104_1.01	0.000833274324391	0.00103257370737	0.00164446085256	0.00100908855929	0.00112775439826	0.0010640424695	0.00113573326724	0.0039249875628	0.00144744388234	0.0015657671396	0.00187416238865	0.00152552548693	0.00125180437627
ARID_BRIGHT_Average_3	0.000648659924697	0.00200885701472	0.0005685989425	0.000801538969868	0.000513623114784	0.00079913223472	0.000810697674659	0.00034678071155	0.000568929057692	0.000862435085548	0.000937588069029	0.00218762682672	0.00115439276024
ARID_BRIGHT_M5966_1.01	0.00135717434735	0.00179755308301	0.00106134546466	0.00121800770727	0.00158307630541	0.00293486340482	0.00125944728056	0.00176573549836	0.00137693316123	0.00129419885827	0.00200800121504	0.00161353452741	0.00151470049426
ARID_BRIGHT_Average_4	0.0014549191419	0.00174741196587	0.00135134585032	0.00172460063571	0.00123675062719	0.00124679106386	0.00164621876606	0.00178073674992	0.00217462297355	0.00142106996289	0.00187645858425	0.00156987199561	0.00168254447748
ARID_BRIGHT_M0108_1.01	0.001710901906	0.0011354405546	0.00145050441641	0.00129316332678	0.00145068492701	0.00149909806922	0.0015462872907	0.00155039858629	0.00124137492545	0.00148033814053	0.00109292728022	0.00173625503558	0.00172384420964
ARID_BRIGHT_Average_2	0.000440971976862	0.00103844560062	0.000707476153815	0.000457678680238	0.000468930993003	0.000695939885999	0.000502881105145	0.000633963573574	0.00055982409664	0.00049827936424	0.000540017911372	0.000562731515493	0.000974743658911
