	HSC	MPP	LMPP	CMP	GMP	MEP	Mono	CD4	CD8	Nkcell	Bcell	CLP	Ery
AP-2_Average_26	-0.0	-0.0	0.0823860442804	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	1.52454026967	0.930122961804
AP-2_Average_17	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.417296293443	-0.0	-0.0	-0.0	-0.0	-0.0	1.45939080596
AP-2_Average_27	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.34868135171	0.451524641561
AP-2_Average_15	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.494898266812	-0.0	-0.0	-0.0	-0.0	4.01279794782	4.59114507824
AP-2_M5965_1.01	-0.0	-0.0	1.04584224535	-0.0	-0.0	-0.0	1.16601356876	-0.0	-0.0	-0.0	-0.0	-0.0	0.353570886759
ARID_BRIGHT_Average_1	-0.0	0.307266069692	-0.0	-0.0	-0.0	-0.0	-0.0	0.0553572162888	-0.0	-0.0	-0.0	-0.0	-0.0
ARID_BRIGHT_M0104_1.01	1.38250928157	0.517127481482	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
ARID_BRIGHT_Average_3	-0.0	0.0369906648645	-0.0	-0.0	-0.0	-0.0	-0.0	0.729785543407	-0.0	-0.0	-0.0	-0.0	-0.0
ARID_BRIGHT_M5966_1.01	0.888825245389	1.09561846573	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
ARID_BRIGHT_Average_4	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
ARID_BRIGHT_M0108_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
ARID_BRIGHT_Average_2	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
