# maelstrom - GimmeMotifs version 0.10.0b4
# method: mara with motif count
# motif table: mm10.most_variable.out/motif.count.txt.gz
# activity values: mean coefficient from fitted model
	MPP	CMP	GMP	MEP	Monocytes	Erythroblast	CD4	CD8	Bcell	Nkcell
AP-2_Average_26	0.0826769099492	0.0102648582964	0.0251448596541	0.0337891128707	-0.0321930686736	-0.0140930239565	-0.0083868278113	-0.0326536873278	-0.00340974600189	-0.00549706580534
AP-2_Average_17	-0.0461951853065	-0.0205542578476	0.000406939026479	0.00113057595264	-0.0347327615737	0.028619078814	0.00442536969603	-0.00157953215008	-0.0303526890164	0.0635273470354
AP-2_Average_27	0.0835485752381	0.016991281	0.00489969794716	0.0405511350385	-0.019287383573	-0.0140157267534	-0.0917345635142	-0.0150862650656	-0.000852675128419	0.0401008928374
AP-2_Average_15	-0.00585399489792	0.00273851238753	0.00203005436889	0.00751343186412	0.00146043537091	-0.0351295660737	0.0022125311803	0.00218346875119	0.0211453074504	0.0138480041825
AP-2_M5965_1.01	0.00336714521153	0.0291465049417	-0.00513081939972	-0.0587361400148	0.0984092841455	-0.00181482970938	-0.0194676630708	0.00910000638738	-0.00303905154071	-0.0125609185838
ARID_BRIGHT_Average_1	0.135253688207	0.19775244095	0.193508879266	-0.249046716051	-0.190698636629	-0.254987130759	-0.0173427686257	0.0310291769308	-0.0751471286055	0.254450657061
ARID_BRIGHT_M0104_1.01	-0.192547997526	0.199162810926	0.134625664308	-0.643934851623	0.275911731437	0.0247304833161	-0.255549463711	-0.170713966543	-0.0130809151211	0.0320605620037
ARID_BRIGHT_Average_3	-0.152051386875	-0.200865675722	-0.249612233887	0.307677555495	0.188368149505	0.267466727558	0.0664827683668	-0.0282059234078	0.0723073199412	-0.247451532054
ARID_BRIGHT_M5966_1.01	-0.112846724072	0.0744419055435	-0.0872651135976	-0.198989840581	0.0121535953262	-0.178049997415	-0.192902444772	-0.140929484064	0.385318682377	0.100305610479
ARID_BRIGHT_Average_4	-0.0736272617244	0.0013165140446	-0.110272635021	-0.198134046151	0.0951510760785	-0.20888617702	-0.0295273057473	-0.0125052254149	-0.028066498832	0.0967325789754
ARID_BRIGHT_M0108_1.01	0.158250794435	0.0153377487627	-0.00351082415925	-0.155247459477	0.149357887113	0.159060874077	-0.0882188155762	-0.0389158977365	0.0121218097978	0.057942874878
ARID_BRIGHT_Average_2	-0.0220588771329	-0.00213144010495	-7.85047126741e-06	0.0240681239752	0.00515118239005	0.0347412023638	-0.0231948028915	0.000263227051387	-0.00154882076409	-0.0114753414673
AT_hook_M6098_1.01	0.020231677087	-0.0650899695843	-0.118508894045	-0.0466721411104	-0.0592145553216	-0.0236922438732	0.0784648045942	-0.0284971647594	0.0359648823125	0.0246346063017
AT_hook_M0127_1.01	0.0066466342513	-0.0478637899616	-0.140647149279	0.109405176229	-0.029300355513	0.0745875952301	-0.112495422649	0.00155495376533	0.0570290869399	0.0814394918227
AT_hook_M0131_1.01	0.00626016112001	0.0649319113705	0.112191279013	-0.00028496370682	-0.0013326013206	-0.00209136816236	-0.056045810319	-0.0400769529952	-0.0823202024316	-0.0046299640977
AT_hook_M0133_1.01	-0.109804983231	-0.0196296601844	-0.246924363506	-0.0225656616238	-0.0987124060581	0.359576406224	0.0215877615963	0.0698577823067	0.0775379787744	0.282711524779
AT_hook_M6099_1.01	-0.0281007740287	0.229116553148	-0.0749277760042	-0.379453742841	0.075788839329	0.14547656634	0.0104517065465	0.0639435958001	-0.0382441624845	0.0144024388845
AT_hook_Average_2	0.000776964743267	-0.00134301371445	0.00330024136161	-0.0105121395813	-0.00487225290949	0.00748053651847	-0.0106251025429	0.00136940085234	-0.00217429983672	0.00526030738341
AT_hook_M0128_1.01	-0.418866287283	0.0490527226334	0.188925883422	-0.0581075829652	-0.0264691457811	0.091887655733	-0.116167978097	-0.0106120980571	-0.166816771516	-0.0438001199208
AT_hook_Average_1	-0.00140094224208	0.00108042433233	0.00537777966937	0.000777990084254	0.014954584417	0.00913032797171	-0.0112125839037	-0.0133786492207	-0.00377715379518	-0.000186717694805
bHLH_bZIP_Average_10	-0.0157037665551	-0.0723807952441	-0.00676433973222	0.0160493542546	-0.114963536365	0.0923487385464	0.0136027100792	-0.023152781167	0.100822754035	0.00154714882974
bHLH_bZIP_M5432_1.01	0.0025780311706	0.0383928560517	0.0409032404014	-0.0537032529906	-0.0364561655087	-0.0287040192826	-0.00433863528476	-0.018905326889	-0.020859192146	0.0925132471176
bHLH_Average_165	-0.0538206728433	-0.0106996485375	0.00303803834283	0.00942461918482	0.0190075341739	-0.117846213462	-0.0013630540331	-0.0630994635552	0.0123638185264	0.157055756866
bHLH_M2134_1.01	0.263972241654	0.0103359203872	-0.047413403088	0.0315031326285	-0.0112786615629	-0.0626422077257	-0.137699733092	-0.116877342819	-0.0102470971877	-0.0569710821394
bHLH_Average_151	0.168795632325	0.0179466578394	0.0467311096778	-0.0273290243274	0.00940207794132	-0.074229491026	-0.0027738940254	-0.0523430288814	-0.126217214997	-0.0106645850745
bHLH_M6260_1.01	0.00131860020416	0.117832200919	0.0377942382436	0.0491881533511	-0.0745997996533	-0.0992378346077	-0.0702839676416	-0.0154498043921	-0.0301028716964	-0.155701552196
bHLH_Average_27	-0.00276241700277	0.0031450308419	0.00318552651582	-0.00975949831707	-0.0110917128791	0.019656352176	-0.00772513950889	-0.045520664633	0.024981926134	-0.0322086177261
bHLH_M5981_1.01	0.0544316619152	-0.0210739465924	-0.0011714848189	-0.0284848974506	0.0013773896947	0.00427425145176	-0.0168781987936	0.0535725700927	-0.00267276138375	-0.0417356007556
bHLH_Average_154	-0.0651320224394	0.0216645405763	-0.0784168098441	0.103100887589	0.0342495363104	0.086152297855	-0.048438362538	-0.0272946232765	-0.029855860088	-0.0335092585776
bHLH_Average_164	-0.0679574068249	-0.0346175667683	-0.0422397822466	0.209156323893	-0.062324011774	-0.0515457486282	0.0965391333582	0.0319227422785	0.0249931855714	0.0191263911849
bHLH_Average_148	0.0478543865569	0.0147309487725	-0.00108863995695	-0.117405874845	-0.0736574946059	0.0447788835895	-0.0221221744577	0.00299560924971	-0.0168020837539	0.0240171563808
bHLH_Average_160	0.0309637773559	-0.00576152391788	-0.035318752723	-0.0235367507127	0.00376810188207	0.00849433783494	-0.00266016374452	0.00876106952701	-0.00531162593989	3.37206567822e-05
bHLH_M5980_1.01	-0.0744655125425	0.00192535422162	0.00259264046066	0.0214718608533	-0.0087617039299	-0.00888227819772	0.0910889232253	0.182823710846	-0.0184728950873	-0.0456482468851
bHLH_M0177_1.01	0.112242572054	-0.0340233239861	0.0475817913919	-0.0160356746798	-0.0336829279194	-0.0212800322342	0.0214633758091	-0.0419491859351	0.0939383669803	-0.0810406563356
bHLH_Average_145	-0.0101938235254	0.00415459161847	0.0249406216583	-0.00264668909999	0.0730288657338	-0.00812109391114	0.0493468874729	0.0593188430893	0.0584242067112	-0.0525562279574
bHLH_Average_140	-0.0108607942409	0.0240575947107	0.0761311812827	-0.00143497104094	-0.00985298456895	-0.00818909473294	-0.183622561602	-0.0313277362485	-0.0247500836707	0.0253610693273
bHLH_M0210_1.01	0.0014101869391	-0.0205621939451	-0.111807598454	0.164121290993	-0.0104865323685	0.0995849488921	-0.25567589572	0.191027423767	-0.0141651300111	-0.0120524044116
