# maelstrom - GimmeMotifs version 0.10.0b4
# method: mwu with motif score
# motif table: mm10.most_variable.out/motif.score.txt.gz
# activity values: BH-corrected -log10 Mann-Whitney U p-value
	MPP	CMP	GMP	MEP	Monocytes	Erythroblast	CD4	CD8	Bcell	Nkcell
AP-2_Average_26	1.77293730397	2.82791655548	0.037145987599	0.167634430549	0.412215520662	0.246707985715	2.62718035753e-08	0.675306376685	0.0597314774371	1.93447392253
AP-2_Average_17	4.0705283389	2.06295339973	0.0712271977738	1.26513944924	1.12722997222	0.257156089428	1.94459175069e-09	0.276820466948	6.84671775315e-05	1.09401327734
AP-2_Average_27	2.84332690125	0.610026872726	0.06992082707	0.323271346727	0.764554603708	0.207787697535	1.03801486826e-07	0.668820236076	0.355306037322	0.652351998165
AP-2_Average_15	3.46666253908	0.643534613563	0.0110427649156	0.826501088667	0.346138942385	0.155106759626	1.4707516112e-08	0.122951198311	0.26860553333	3.3978123805
AP-2_M5965_1.01	6.8818054043	1.54955832338	0.000218343469817	0.072815172407	0.50473636997	0.669220192896	3.84534562044e-05	2.69358924702	1.66219143523e-08	1.88045848109
ARID_BRIGHT_Average_1	6.75854314844e-08	2.62173311287	0.0676544484156	6.46205184988	-0.0	0.00827718021092	14.0872787174	0.979394133113	6.03473078332	2.28697013993e-05
ARID_BRIGHT_M0104_1.01	3.01184099029e-05	1.78820700522	0.57959707323	6.40747450226	2.96787207081e-11	0.10884815271	3.426093174	0.000195464861587	12.1846789748	2.48267981583e-05
ARID_BRIGHT_Average_3	2.56973018967e-11	3.09262534544	0.0624240758933	11.2444372769	-0.0	0.0033403358153	15.3977791478	1.24815835916	5.68953720426	1.49057717275e-07
ARID_BRIGHT_M5966_1.01	0.00259335271462	0.951395933601	0.936154212156	1.35690725307	1.03152016629e-09	0.0475580498709	11.0219355504	0.0381166140126	14.1542783294	1.19576605853e-14
ARID_BRIGHT_Average_4	0.0089971243738	0.0276231908103	2.69327451179	2.00312019843	0.0279310687233	0.00414552412711	0.069199305287	1.70993847411	3.16540290775	0.0111337288831
ARID_BRIGHT_M0108_1.01	8.8650219448e-08	1.57476220419	4.04852322198	14.7424772582	0.000258669091397	0.0541003481965	0.735250366427	0.000352139401719	3.51762517619	3.70947860955e-08
