# maelstrom - GimmeMotifs version 0.10.0b4
# method: rf with motif score
# motif table: mm10.most_variable.out/motif.score.txt.gz
# activity values: feature importances from fitted Random Forest model
	Bcell	CD4	CD8	CMP	Erythroblast	GMP	MEP	MPP	Monocytes	Nkcell
AP-2_Average_26	0.00125906601228	0.00119344379188	0.00145427257074	0.00172056933861	0.0017704543584	0.00119437922999	0.00105209096767	0.00120842991273	0.0014556285176	0.00165241386582
AP-2_Average_17	0.00146281947898	0.00174894723445	0.00148435777071	0.00194229421251	0.00164491209193	0.00133764460974	0.00150187814449	0.000765971901022	0.00132315768848	0.00146228670419
AP-2_Average_27	0.0015371970212	0.00129207271675	0.00144755624799	0.00172930620629	0.00216336936351	0.00163553552836	0.0016937880951	0.00124440083539	0.00187870674013	0.00213589941088
AP-2_Average_15	0.00163105443366	0.0020081097654	0.00159792546361	0.00171430604897	0.00266094570546	0.00145381637977	0.00142013059314	0.000927148633829	0.00154689496514	0.00162020823901
AP-2_M5965_1.01	0.0013115939309	0.00177750429387	0.00172406600621	0.00241646717043	0.00277518042114	0.0013457626779	0.00106831085575	0.00135323725759	0.00168983571095	0.00104438354094
ARID_BRIGHT_Average_1	0.000615132010396	0.00134650837404	0.000987013899113	0.000851590574232	0.000659990908359	0.000589169803	0.000860279607049	0.000598954499491	0.00194737855654	0.000521797447799
ARID_BRIGHT_M0104_1.01	0.00193292906047	0.000958180097847	0.00123354815056	0.00155385657553	0.00220219311545	0.0012228387709	0.00142785046441	0.00115304489948	0.00122258668574	0.000954071854184
ARID_BRIGHT_Average_3	0.000694943524223	0.00153574912945	0.00108452303888	0.00106949672006	0.000620983059947	0.000825552420604	0.00069041213519	0.00170993113201	0.00174794276838	0.00127976105131
ARID_BRIGHT_M5966_1.01	0.00224910911588	0.00166001958941	0.00190354415381	0.0010810952322	0.00219389123795	0.00101512113802	0.00147683771419	0.00118028596037	0.00127472451029	0.00105531243043
ARID_BRIGHT_Average_4	0.00199180236747	0.00188162896958	0.0019908408072	0.00135485376018	0.00143920912988	0.00119772581568	0.00139437970627	0.00112483968716	0.0018607906409	0.00193901768108
ARID_BRIGHT_M0108_1.01	0.00160619927073	0.0014176387274	0.00084811215479	0.00189477284883	0.00183041718808	0.00148847848582	0.00149553692874	0.00131187797055	0.00160510224779	0.00143008792566
ARID_BRIGHT_Average_2	0.00052028521949	0.00057062437131	0.000818786678282	0.000751478798173	0.00070919859777	0.00050916999764	0.000692965492967	0.00126851683491	0.00069143782954	0.000607266408295
AT_hook_M6098_1.01	0.0011995336885	0.00145834728365	0.0010913965605	0.000924792501492	0.000968719728279	0.000953027142718	0.00105349987705	0.000892482935929	0.00136191091625	0.00118674234089
AT_hook_M0127_1.01	0.000738254464433	0.000876694853142	0.00130340504015	0.000822976190303	0.00136769632436	0.000765140795782	0.00113099390428	0.000817164972178	0.000591367122544	0.00125171500992
AT_hook_M0131_1.01	0.00152701654832	0.00106083415618	0.00097846618523	0.00101259655956	0.00151567860537	0.00125117138012	0.00126857504655	0.00107254376464	0.00117791515959	0.000959528987054
AT_hook_M0133_1.01	0.00142311517221	0.00121933461864	0.0012188275993	0.00146355320671	0.0029723907174	0.00113129843321	0.00142724823368	0.00107407110633	0.00171463392118	0.00118081880211
AT_hook_M6099_1.01	0.00129679435407	0.00156879931384	0.00181237712143	0.00133379533655	0.00177353730915	0.00164286851612	0.00129926042289	0.00127006390005	0.00159491508245	0.00124567630561
AT_hook_Average_2	0.000302348881809	0.000449178332256	0.000542750958425	0.000201458013212	0.000454078794305	0.000430996485564	0.000575588701381	0.000328585611995	0.000538850535359	0.000346931249119
AT_hook_M0128_1.01	0.00128391909073	0.0016662129603	0.00125314075969	0.00182730837358	0.00203647611497	0.00117201133439	0.00104219582111	0.00110434008277	0.00128594787775	0.0012708804186
AT_hook_Average_1	7.34479465854e-05	6.36111617481e-05	0.000131311163745	3.64262335974e-05	5.32747370938e-05	2.06833060009e-05	2.60206289178e-05	2.16343625714e-05	8.15978024733e-06	0.000154672149034
bHLH_bZIP_Average_10	0.00124677821731	0.00102797482485	0.00132506261874	0.00135258480344	0.001088554255	0.000982098099673	0.000978673698358	0.00393737464608	0.00114830965867	0.00126162165813
bHLH_bZIP_M5432_1.01	0.0015153446116	0.00164459821925	0.0016495791183	0.00152463354137	0.0014442468241	0.00179593466504	0.00162393432553	0.00221706515505	0.00143616244502	0.00181174042551
bHLH_Average_165	0.000870191713484	0.000862567733227	0.000862845791258	0.00113723639598	0.0013401979735	0.00111391149712	0.000492498625856	0.0163131755887	0.00140836013425	0.0013265500028
bHLH_M2134_1.01	0.00118350042688	0.00117684290462	0.000999698903992	0.00151171890078	0.00135236960389	0.00122352170856	0.00164431791416	0.00758324066052	0.00104636251652	0.00102483818104
bHLH_Average_151	0.00119454619385	0.0014177997799	0.00196707688349	0.00167591321051	0.00173232432856	0.00111418999947	0.000974279528171	0.00965244056476	0.00149154291509	0.00125522430403
bHLH_M6260_1.01	0.00133183348632	0.00223197398855	0.00217331491347	0.00158713564035	0.00159387462406	0.00224047538786	0.00160716020401	0.00187605063831	0.0015262253603	0.00157555641368
bHLH_Average_27	0.0020399466274	0.00132510883176	0.00147111579239	0.00191632395355	0.00151451062627	0.00167068741495	0.00108887700886	0.00210799726815	0.00119300607332	0.00136103066456
bHLH_M5981_1.01	0.00130222694551	0.002171084478	0.00229885568087	0.00144255501205	0.00114156001102	0.00132178440312	0.00121274077104	0.00159581911041	0.00238496511947	0.00146888843889
bHLH_Average_154	0.00194219167999	0.00112940025664	0.00188508664143	0.00134502293388	0.00197020672488	0.00115710934741	0.00129057325594	0.00181586920276	0.00172079413006	0.0010220091978
bHLH_Average_164	0.000917439035664	0.00101582969523	0.00100351897507	0.00151581085911	0.00101424773449	0.000727459561638	0.00130093983979	0.00211159390385	0.00105313734256	0.00101567548844
bHLH_Average_148	0.000953112865142	0.000794654968898	0.00167004743961	0.00195891498486	0.00131653621375	0.0011350646927	0.00108634982389	0.00417594720597	0.00134593822596	0.001208942965
bHLH_Average_160	0.00128061613524	0.00190545569299	0.0013734839845	0.00195998185924	0.00154071121444	0.00149285143241	0.000976656387707	0.00128672749921	0.00132985574567	0.00161458111675
bHLH_M5980_1.01	0.00176823187771	0.00174688495817	0.00166711016221	0.00177567496422	0.002156301481	0.00165940594323	0.00114904716799	0.00139857772359	0.00153076913597	0.00100224957118
bHLH_M0177_1.01	0.00140371134823	0.00162811812992	0.00188600972548	0.00158045946403	0.00150392266652	0.0016690134091	0.00141543302268	0.00120345037251	0.00137280594034	0.00147490300218
