	MPP	CMP	GMP	MEP	Monocytes	Erythroblast	CD4	CD8	Bcell	Nkcell
AP-2_Average_26	-0.0	0.0231860644174	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
AP-2_Average_17	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
AP-2_Average_27	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
AP-2_Average_15	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
AP-2_M5965_1.01	-0.0	0.829939071025	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
ARID_BRIGHT_Average_1	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.475912675455	-0.0	-0.0	-0.0
ARID_BRIGHT_M0104_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	0.373770141771	-0.0	-0.0	-0.0	-0.0
ARID_BRIGHT_Average_3	-0.0	-0.0	-0.0	0.307842434407	-0.0	-0.0	1.23302353871	-0.0	-0.0	-0.0
ARID_BRIGHT_M5966_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	2.00101476389	-0.0
ARID_BRIGHT_Average_4	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
ARID_BRIGHT_M0108_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	1.35111947097	-0.0	-0.0	-0.0	-0.0
ARID_BRIGHT_Average_2	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
AT_hook_M6098_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
AT_hook_M0127_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
AT_hook_M0131_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
AT_hook_M0133_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	2.05831311053	-0.0	-0.0	-0.0	-0.0
AT_hook_M6099_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	0.12482651577	-0.0	-0.0	-0.0	-0.0
AT_hook_Average_2	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
AT_hook_M0128_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
AT_hook_Average_1	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bHLH_bZIP_Average_10	0.0777282562161	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bHLH_bZIP_M5432_1.01	1.42531775358	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	1.77411753109
bHLH_Average_165	2.10313696519	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bHLH_M2134_1.01	7.06145675446	-0.0	-0.0	1.76867745623	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bHLH_Average_151	3.7653620942	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bHLH_M6260_1.01	0.674053848607	-0.0	-0.0	0.259715140829	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bHLH_Average_27	1.28811187601	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bHLH_M5981_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bHLH_Average_154	-0.0	-0.0	-0.0	-0.0	-0.0	0.64379188071	-0.0	-0.0	-0.0	-0.0
bHLH_Average_164	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bHLH_Average_148	0.202687225992	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bHLH_Average_160	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bHLH_M5980_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bHLH_M0177_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bHLH_Average_145	0.576676598211	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bHLH_Average_140	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bHLH_M0210_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	1.66877294317	-0.0	-0.0
bHLH_M6165_1.01	1.00543400845	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bHLH_M6031_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	6.64021253935	-0.0	-0.0	-0.0	-0.0
bHLH_M0187_1.01	-0.0	-0.0	-0.0	-0.0	0.60094083738	-0.0	-0.0	-0.0	-0.0	-0.0
bHLH_M2787_1.01	0.440794182027	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bHLH_Average_139	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	1.25250018549
bHLH_Average_115	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	1.42523711641
bHLH_Average_117	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bHLH_M5969_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	1.51193804727	-0.0	-0.0	-0.0
bHLH_M6087_1.01	0.142615826742	0.882207229169	-0.0	2.65492320703	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bHLH_Average_143	-0.0	-0.0	-0.0	-0.0	-0.0	0.809883361663	-0.0	-0.0	7.878524238	-0.0
bHLH_T-box_M5447_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	10.0222214667
bHLH_T-box_M5448_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	3.87382948898
bHLH_T-box_M5449_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	2.85927662364
bZIP_M3883_1.01	-0.0	-0.0	-0.0	-0.0	2.95169233832	-0.0	-0.0	0.570002262198	-0.0	-0.0
bZIP_M3882_1.01	0.237939362341	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_Average_149	-0.0	-0.0	-0.0	-0.0	4.43581619565	-0.0	3.08626248872	-0.0	-0.0	2.22888151656
bZIP_Average_67	-0.0	-0.0	10.1444779987	-0.0	9.97627893993	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_Average_146	-0.0	-0.0	-0.0	-0.0	6.87961942662	-0.0	-0.0	-0.0	-0.0	2.08258222223
bZIP_Average_117	-0.0	-0.0	-0.0	-0.0	2.6585059367	-0.0	-0.0	-0.0	-0.0	0.408527305593
bZIP_M4371_1.01	-0.0	-0.0	-0.0	-0.0	1.19355373801	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_M6050_1.01	-0.0	-0.0	-0.0	-0.0	1.32008619941	-0.0	0.689056145914	-0.0	-0.0	-0.0
bZIP_Average_154	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_M6149_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_Average_148	-0.0	2.96535550984	-0.0	-0.0	7.80047910983	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_Average_145	-0.0	-0.0	7.30284049016	-0.0	3.95914516994	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_M0309_1.01	-0.0	-0.0	3.71970535905	-0.0	2.56818713327	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_Average_153	-0.0	1.2812478823	13.9724402333	-0.0	9.84619517732	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_M2910_1.01	-0.0	-0.0	9.43832736507	-0.0	6.59398357676	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_Average_141	-0.0	-0.0	5.78713989991	-0.0	3.02717005779	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_M6006_1.01	-0.0	-0.0	5.01846122241	-0.0	0.165215557104	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_Average_143	-0.0	-0.0	-0.0	-0.0	3.18783657118	-0.0	0.970970142242	-0.0	-0.0	-0.0
bZIP_Average_142	-0.0	-0.0	-0.0	-0.0	3.69549489777	-0.0	-0.0	-0.0	-0.0	0.295201169966
bZIP_M0300_1.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.874598383142	-0.0	-0.0	-0.0
bZIP_Average_150	-0.0	-0.0	-0.0	-0.0	2.80109743523	-0.0	1.7155710566	-0.0	-0.0	0.118115142088
bZIP_M5866_1.01	-0.0	-0.0	-0.0	-0.0	0.145413609179	-0.0	0.295110686424	-0.0	-0.0	-0.0
bZIP_Average_134	-0.0	-0.0	-0.0	-0.0	2.00716468183	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_M0304_1.01	-0.0	-0.0	0.627813102184	-0.0	4.58549502711	-0.0	-0.0	-0.0	-0.0	0.370216635265
bZIP_Average_147	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_M0305_1.01	-0.0	-0.0	-0.0	-0.0	0.579343353978	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_M0287_1.01	-0.0	-0.0	-0.0	-0.0	2.90133706267	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_Average_152	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
bZIP_Average_151	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
