Motif	Score	Cutoff
AP-2_Average_26	8.04495856256	0.955512975888
AP-2_Average_17	7.42831329343	0.981418646214
AP-2_Average_27	7.94470387279	0.915566147177
AP-2_Average_15	7.69841801353	0.892475027454
AP-2_M5965_1.01	5.99525708024	0.871035613337
ARID_BRIGHT_Average_1	7.88734363719	1.0
ARID_BRIGHT_M0104_1.01	9.30004884237	0.963339771712
ARID_BRIGHT_Average_3	5.86379148589	1.0
ARID_BRIGHT_M5966_1.01	12.400616124	0.914949932922
ARID_BRIGHT_Average_4	8.77697298089	0.955429495413
ARID_BRIGHT_M0108_1.01	9.56237198822	0.978110282156
ARID_BRIGHT_Average_2	4.64749959875	1.0
AT_hook_M6098_1.01	6.91429101973	1.0
AT_hook_M0127_1.01	10.7598956275	1.0
AT_hook_M0131_1.01	8.29822137625	1.0
AT_hook_M0133_1.01	9.23417731479	0.960255901804
AT_hook_M6099_1.01	8.45875417046	0.902602908414
AT_hook_Average_2	2.35927473781	1.0
AT_hook_M0128_1.01	3.99467911045	0.986340561587
AT_hook_Average_1	2.31396875232	1.0
bHLH_bZIP_Average_10	7.81535620486	0.972096561799
bHLH_bZIP_M5432_1.01	4.90826168645	0.815901667479
bHLH_Average_165	7.40057826652	1.0
bHLH_M2134_1.01	9.61115363368	0.995649753768
bHLH_Average_151	6.53740968189	0.992520011097
bHLH_M6260_1.01	9.80203771979	0.909252416568
bHLH_Average_27	3.43825941383	0.820157250761
bHLH_M5981_1.01	5.8254568193	0.853603840144
bHLH_Average_154	7.90873094654	0.891672453001
bHLH_Average_164	6.6809734233	1.0
bHLH_Average_148	7.62741354152	0.962687728652
bHLH_Average_160	6.99225945618	0.991050255095
bHLH_M5980_1.01	9.31612739134	0.917770043931
bHLH_M0177_1.01	7.78647999324	0.973840335464
bHLH_Average_145	6.85601619127	0.971832228515
bHLH_Average_140	8.51540821034	0.94806347076
bHLH_M0210_1.01	7.09485535603	0.963792584986
bHLH_M6165_1.01	6.9750397997	0.882090592855
bHLH_M6031_1.01	10.2075781413	0.957706917742
bHLH_M0187_1.01	7.44138739071	0.949101310015
bHLH_M2787_1.01	3.59001800886	0.83372226098
