loc	cluster
chr14:16408791-16408992	MPP
chr16:63102471-63102672	MPP
chr17:5308549-5308750	MPP
chr18:68908062-68908263	MPP
chr18:53762810-53763011	MPP
chr12:32348897-32349098	MPP
chr8:122099014-122099215	MPP
chr16:57267172-57267373	MPP
chr1:133645729-133645930	MPP
chr11:8572892-8573093	MPP
chr12:104438866-104439067	MPP
chr9:20949388-20949589	MPP
chr4:82231998-82232199	MPP
chr4:82166191-82166392	MPP
chr14:72807984-72808185	MPP
chr3:105686474-105686675	MPP
chr4:98247454-98247655	MPP
chr12:28724157-28724358	MPP
chr16:32902131-32902332	MPP
chr5:105709789-105709990	MPP
chr7:19202570-19202771	MPP
chr14:33535398-33535599	MPP
chr16:91555436-91555637	MPP
chr5:144005414-144005615	MPP
chr12:85121939-85122140	MPP
chr19:16794201-16794402	MPP
chr5:35811697-35811898	MPP
chr9:14519992-14520193	MPP
chr17:8205398-8205599	MPP
chr1:14800401-14800602	MPP
chr7:91493296-91493497	MPP
chr16:35308393-35308594	MPP
chr8:121844767-121844968	MPP
chr6:85619817-85620018	MPP
chr10:116488064-116488265	MPP
chr10:83026308-83026509	MPP
chr19:37123459-37123660	MPP
chr17:71130190-71130391	MPP
chr1:37358052-37358253	MPP
chr5:137672050-137672251	MPP
chr14:100189867-100190068	MPP
chr13:93089197-93089398	MPP
chr5:43324439-43324640	MPP
chr1:156002671-156002872	MPP
chr7:130904643-130904844	MPP
chr8:124266929-124267130	MPP
chr2:92691614-92691815	MPP
chr11:98450268-98450469	MPP
chr6:49048562-49048763	MPP
chr3:51884346-51884547	MPP
chr13:55374333-55374534	MPP
chr10:71383224-71383425	MPP
chr14:31441903-31442104	MPP
chr10:108253352-108253553	MPP
chr5:93150117-93150318	MPP
chr5:104063016-104063217	MPP
chr5:110827671-110827872	MPP
chr6:54516984-54517185	MPP
chr8:66586920-66587121	MPP
chr1:154765085-154765286	MPP
chr11:4437442-4437643	MPP
chr1:58744755-58744956	MPP
chr14:16285195-16285396	MPP
chr9:96685573-96685774	MPP
chr11:55225639-55225840	MPP
chr4:124742818-124743019	MPP
chr14:30399672-30399873	MPP
chr6:115939631-115939832	MPP
chr2:165877700-165877901	MPP
chr6:87894273-87894474	MPP
chr3:122338054-122338255	MPP
chr1:138608380-138608581	MPP
chr2:79031084-79031285	MPP
chr3:103804284-103804485	MPP
chr5:75600062-75600263	MPP
chr11:53671552-53671753	MPP
chr10:95850608-95850809	MPP
chr6:88819046-88819247	MPP
chr18:69653254-69653455	MPP
chr12:11426504-11426705	MPP
chr6:37196925-37197126	MPP
chr11:75206229-75206430	MPP
chr4:125261557-125261758	MPP
chr13:115020780-115020981	MPP
chr19:29429415-29429616	MPP
chr8:95377932-95378133	MPP
chr9:74913055-74913256	MPP
chr1:59178335-59178536	MPP
chr15:84532366-84532567	MPP
chr2:121718402-121718603	MPP
chr5:37338447-37338648	MPP
chr1:164536598-164536799	MPP
chr11:69257139-69257340	MPP
chr18:77799770-77799971	MPP
chr15:12233146-12233347	MPP
chr11:8684380-8684581	MPP
chr10:68153465-68153666	MPP
chr1:21794273-21794474	MPP
chr2:35154101-35154302	MPP
chr13:107539393-107539594	MPP
chr1:13386088-13386289	MPP
chr10:24900244-24900445	MPP
chr3:144476103-144476304	MPP
chr13:111876499-111876700	MPP
chr11:86566674-86566875	MPP
chr7:96985939-96986140	MPP
chr13:32643118-32643319	MPP
chr4:153967552-153967753	MPP
chr11:108336550-108336751	MPP
chr6:87146110-87146311	MPP
chr10:67019039-67019240	MPP
chr14:56553416-56553617	MPP
chr10:110120692-110120893	MPP
