loc	cluster
chr12:93507547-93507747	HSC
chr7:38236460-38236660	HSC
chr10:21357147-21357347	HSC
chr6:115521512-115521712	HSC
chr2:97359808-97360008	HSC
chr16:16684549-16684749	HSC
chrX:138964544-138964744	HSC
chr2:186923973-186924173	HSC
chrX:113834470-113834670	HSC
chr4:48388760-48388960	HSC
chrX:69549633-69549833	HSC
chr5:18093707-18093907	HSC
chr8:62602218-62602418	HSC
chr21:16329191-16329391	HSC
chrX:13575044-13575244	HSC
chr3:77369026-77369226	HSC
chr13:58622965-58623165	HSC
chr13:48616377-48616577	HSC
chr21:20716160-20716360	HSC
chr8:76638281-76638481	HSC
chr18:5089082-5089282	HSC
chr5:60360636-60360836	HSC
chr8:107151796-107151996	HSC
chr8:110899221-110899421	HSC
chr12:86188386-86188586	HSC
chr13:58764975-58765175	HSC
chr8:24426247-24426447	HSC
chr14:43993163-43993363	HSC
chr3:7256305-7256505	HSC
chr1:162185745-162185945	HSC
chr5:180244166-180244366	HSC
chr11:97491068-97491268	HSC
chr3:73620813-73621013	HSC
chr13:70379377-70379577	HSC
chr1:217800821-217801021	HSC
chr7:151247766-151247966	HSC
chr16:11140995-11141195	HSC
chr2:82086205-82086405	HSC
chr4:45865308-45865508	HSC
chr8:138970537-138970737	HSC
chr1:221289522-221289722	HSC
chr9:30013592-30013792	HSC
chr15:35144079-35144279	HSC
chr4:180338584-180338784	HSC
chr4:89729764-89729964	HSC
chr13:36298003-36298203	HSC
chr8:70954636-70954836	HSC
chr12:18620669-18620869	HSC
chr3:16126427-16126627	HSC
chr3:145984-146184	HSC
chr6:38238961-38239161	HSC
chr4:41384435-41384635	HSC
chr1:185773447-185773647	HSC
chr7:138407817-138408017	HSC
chr14:66066103-66066303	HSC
chr3:26278634-26278834	HSC
chr7:108258946-108259146	HSC
chr3:466898-467098	HSC
chr2:163189082-163189282	HSC
chr9:125737547-125737747	HSC
chrX:66451138-66451338	HSC
chr2:195707623-195707823	HSC
chr13:64368197-64368397	HSC
chr6:72216876-72217076	HSC
chr7:95933100-95933300	HSC
chr18:42850401-42850601	HSC
chr20:18813607-18813807	HSC
chr4:68422345-68422545	HSC
chr7:144285936-144286136	HSC
chr18:58633092-58633292	HSC
chr4:156585690-156585890	HSC
chr3:16109587-16109787	HSC
chr4:43355070-43355270	HSC
chrX:72797307-72797507	HSC
chr20:52518177-52518377	HSC
chr10:72138011-72138211	HSC
chr16:22696257-22696457	HSC
chr3:177921570-177921770	HSC
chr19:30719933-30720133	HSC
chr6:166180094-166180294	HSC
chr9:15697221-15697421	HSC
chr1:179563511-179563711	HSC
chrX:14937671-14937871	HSC
chr9:4701619-4701819	HSC
chr3:34253752-34253952	HSC
chr14:70443579-70443779	HSC
chr2:84960473-84960673	HSC
chr18:52768124-52768324	HSC
chr18:7678850-7679050	HSC
chr21:27300011-27300211	HSC
chr20:11146871-11147071	HSC
chr3:107738799-107738999	HSC
chrX:31801797-31801997	HSC
chr5:141343327-141343527	HSC
chr9:104242069-104242269	HSC
chr2:50671113-50671313	HSC
chr6:127235977-127236177	HSC
chr7:99541700-99541900	HSC
chr17:72897562-72897762	HSC
chr7:17135618-17135818	HSC
chr11:23062730-23062930	HSC
chr1:186628016-186628216	HSC
chr7:46757552-46757752	HSC
chr20:16732551-16732751	HSC
chr17:53115811-53116011	HSC
chr7:16063170-16063370	HSC
chr4:85622815-85623015	HSC
chr9:12651152-12651352	HSC
chr16:78180664-78180864	HSC
chr5:27661429-27661629	HSC
chr16:53882154-53882354	HSC
chr11:130819097-130819297	HSC
chr21:28336150-28336350	HSC
chr8:37953884-37954084	HSC
chr17:46568232-46568432	HSC
chr6:143019123-143019323	HSC
chrX:86157517-86157717	HSC
chr13:88837816-88838016	HSC
chr1:172930037-172930237	HSC
chrX:96276761-96276961	HSC
chr2:163027354-163027554	HSC
chr4:16420422-16420622	HSC
chr4:13296688-13296888	HSC
chr4:98527170-98527370	HSC
chr13:83557785-83557985	HSC
chr10:107677395-107677595	HSC
chr8:54785639-54785839	HSC
chr1:197140801-197141001	HSC
chr4:87478857-87479057	HSC
chr2:48624583-48624783	HSC
chr4:172840579-172840779	HSC
chr12:47794367-47794567	HSC
chr8:135020520-135020720	HSC
chrX:110035585-110035785	HSC
chr4:73361858-73362058	HSC
chr7:18215594-18215794	HSC
chr10:112069336-112069536	HSC
chr7:52814625-52814825	HSC
chr16:55989018-55989218	HSC
chr8:75674947-75675147	HSC
chr5:50685510-50685710	HSC
chr3:89413546-89413746	HSC
chr4:180294042-180294242	HSC
chr12:44783514-44783714	HSC
